,lon,lat,rounded depth,rounded mab,barotropic,continuum,available E,E Error,N,N Error,coriolis frequency,eps_IGW,eps_IGW_mult_error,eps_IGW_add_error
0,-52.287,-63.4032,299,343,0.0008073856020322596,0.0003533519682907586,0.0003533519682907586,1.5920561071619744e-06,0.0015856055396710129,0.00046637453793492455,-0.00013040888916196358,5.737884955431081e-10,1.6418284919305848,3.375697721143853e-10
1,-52.287,-63.4032,505,137,0.0008073856020322596,0.000558675215594781,0.0007408099064442298,9.69252987331378e-07,0.0011352088879046465,0.0002684630978061531,-0.00013040888916196358,4.402297392832309e-09,1.4763346478071093,2.0821635768789462e-09
2,-52.287,-63.4032,614,28,0.0008073856020322596,0.0006445419645887184,0.000849782145066784,1.1382641156744416e-07,0.0006137745355658608,0.0002829814215801773,-0.00013040888916196358,1.5489143018082542e-08,2.03517252924178,1.428214603743546e-08
3,-51.6357,-63.5145,1318,338,0.00042326008860642565,0.00036522060918997405,0.0004761105302541021,5.35644385851235e-07,0.0011566041952982746,0.00022460080289958117,-0.00013053548153710846,1.7643628029782414e-09,1.3775784619243174,6.852385446920849e-10
4,-51.6357,-63.5145,1513,143,0.00042326008860642565,0.0005443272816213037,0.0005923140993403315,9.137856057814063e-07,0.0012056793109863,0.00023320731771828224,-0.00013053548153710846,2.5495311520299016e-09,1.3772354169831078,9.862901838035726e-10
5,-51.6357,-63.5145,1625,31,0.00042326008860642565,0.0003755603674944607,0.0003755603674944607,1.388905488700575e-07,0.0006282974454065119,0.00029678999148868694,-0.00013053548153710846,2.9195866250559795e-09,2.076025861064891,2.7581799218898183e-09
6,-50.8113,-63.656,2143,350,0.00023651645669190514,0.00031345442894536676,0.0004542725443608687,1.1078605500917992e-06,0.0010971664244466774,6.0601844327139296e-05,-0.00013069571207191771,1.7533302040596033e-09,1.0951089110521113,1.9387411135473367e-10
7,-50.8113,-63.656,2350,143,0.00023651645669190514,0.00042052695756084936,0.0005628044182012247,1.3750061014062247e-06,0.0014073753789645843,0.0001675604285940183,-0.00013069571207191771,1.7809504867405678e-09,1.220422752441241,4.2415587345698353e-10
8,-50.0897,-63.7783,2400,357,0.00018996484160264986,0.000497628767874676,0.0005067587615274647,1.2942698079853321e-06,0.0009723252146282476,0.0001400368591583635,-0.0001308335588889634,2.659810871369302e-09,1.263842841329302,7.662477362676661e-10
9,-50.0897,-63.7783,2615,142,0.00018996484160264986,0.00041363304083157445,0.0004384637080744141,1.5339755851929735e-06,0.001406565985535906,0.0002043648303596747,-0.0001308335588889634,1.0827542440104449e-09,1.2751859691160985,3.1471866657735937e-10
10,-50.0897,-63.7783,2724,33,0.00018996484160264986,0.0004970507081231137,0.0005134490444845732,9.848078852104538e-07,0.0011452296608677015,0.00027325698804510557,-0.0001308335588889634,2.0887493369738166e-09,1.4817581633454193,9.967793685852596e-10
11,-49.2682,-63.917,3036,353,0.00010145024617578393,0.00015748100330070244,0.00015748100330070244,3.1428474580661226e-07,0.0008025544586827258,0.00023148749375244022,-0.00013098916907130167,3.5012626989319893e-10,1.5839292997990708,2.0197916521613843e-10
12,-49.2682,-63.917,3299,90,0.00010145024617578393,0.00035986223372477854,0.00037832601559482356,2.0915755680416095e-06,0.0016755144316447613,0.00016516139195899723,-0.00013098916907130167,6.011245128650134e-10,1.1817539556153092,1.186937877657825e-10
13,-49.2682,-63.917,3358,31,0.00010145024617578393,0.0003654122459498589,0.0003851146741981639,5.161569389456916e-07,0.00148528978335273,0.0005860354166882422,-0.00013098916907130167,7.630769381525088e-10,1.938949135778483,6.021495209073091e-10
14,-48.3805,-64.0665,3835,40,9.839239059148251e-05,0.00022017014014224305,0.00022699311671201512,6.46643606883595e-07,0.002058309684873545,7.297268735728717e-05,-0.0001311560363563812,1.52660702740614e-10,1.062752074714612,1.0859158609175067e-11
15,-47.4903,-64.2157,4120,39,2.8093912004293832e-05,0.00014351462664283565,0.0001597399598775398,1.9408123191483938e-07,0.00146295616564379,8.339556510019245e-05,-0.0001313216785315546,1.3489535593697796e-10,1.1003050123421252,1.5382539220879743e-11
16,-47.4903,-64.2157,4160,0,2.8093912004293832e-05,0.00018728472474099426,0.00018728472474099426,2.388558271163149e-07,0.0010262857001533921,0.0001917513073812782,-0.0001313216785315546,3.334702528252724e-10,1.3567105596633393,1.2461111846462922e-10
